Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2024-04-01
Data Final: 2024-05-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);
2024-04-01;0000;0;
2024-04-01;0100;0;
2024-04-01;0200;0;
2024-04-01;0300;0;
2024-04-01;0400;0;
2024-04-01;0500;0;
2024-04-01;0600;0;
2024-04-01;0700;0;
2024-04-01;0800;0;
2024-04-01;0900;0;
2024-04-01;1000;0;
2024-04-01;1100;0;
2024-04-01;1200;0;
2024-04-01;1300;0;
2024-04-01;1400;0;
2024-04-01;1500;0;
2024-04-01;1600;0;
2024-04-01;1700;0;
2024-04-01;1800;0;
2024-04-01;1900;0;
2024-04-01;2000;0;
2024-04-01;2100;0;
2024-04-01;2200;0;
2024-04-01;2300;0;
2024-04-02;0000;0;
2024-04-02;0100;0;
2024-04-02;0200;0;
2024-04-02;0300;0;
2024-04-02;0400;0;
2024-04-02;0500;0;
2024-04-02;0600;0;
2024-04-02;0700;0;
2024-04-02;0800;0;
2024-04-02;0900;0;
2024-04-02;1000;0;
2024-04-02;1100;0;
2024-04-02;1200;0;
2024-04-02;1300;0;
2024-04-02;1400;0;
2024-04-02;1500;0;
2024-04-02;1600;0;
2024-04-02;1700;0;
2024-04-02;1800;0;
2024-04-02;1900;0;
2024-04-02;2000;0;
2024-04-02;2100;0;
2024-04-02;2200;0;
2024-04-02;2300;0;
2024-04-03;0000;0;
2024-04-03;0100;0;
2024-04-03;0200;0;
2024-04-03;0300;0;
2024-04-03;0400;0;
2024-04-03;0500;0;
2024-04-03;0600;0;
2024-04-03;0700;0;
2024-04-03;0800;,2;
2024-04-03;0900;0;
2024-04-03;1000;0;
2024-04-03;1100;0;
2024-04-03;1200;0;
2024-04-03;1300;0;
2024-04-03;1400;0;
2024-04-03;1500;0;
2024-04-03;1600;0;
2024-04-03;1700;0;
2024-04-03;1800;0;
2024-04-03;1900;0;
2024-04-03;2000;0;
2024-04-03;2100;0;
2024-04-03;2200;0;
