Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 1993-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
2002-06-30;3,2;28,533333;22,129333;17,54;
2002-07-31;33,2;27,180645;21,310968;17,129032;
2002-08-31;3;30,835484;23,367097;17,625806;
2002-09-30;130,8;27,993333;22,174667;17,946667;
2002-10-31;87;33,36129;25,757419;20,141935;
2002-11-30;140;31,646667;25,922667;21,486667;
2002-12-31;258,9;31,748387;26,490323;22,664516;
2003-01-31;309,3;32,248387;26,706452;22,741935;
2003-02-28;14,5;34,503571;27,649286;22,65;
2003-03-31;131,9;32,832258;26,706;22,374194;
2003-04-30;63;30,47;24,55;20,253333;
2003-05-31;45,1;28,170968;21,879355;17,56;
2003-06-30;0;29,8;21,789333;16,386667;
2003-07-31;6,5;28,467742;20,66;14,748387;
2003-08-31;72,2;27,487097;21,036667;16,4;
2003-09-30;88,5;27,703333;22,174;17,978571;
2003-10-31;75,7;29,509677;23,538065;19,283871;
2003-11-30;276;30,7;25,181333;21,126667;
2003-12-31;293,3;31,512903;25,870323;22,070968;
2004-01-31;342,2;30,245161;25,113548;21,851613;
2004-02-29;148,1;30,734483;25,63;22,035714;
2004-03-31;148,3;30,729032;24,966452;21,232258;
2004-04-30;78,1;30,08;24,537333;21,093333;
2004-05-31;21,1;28,025806;22,307097;18,045161;
2004-06-30;32,5;26,443333;20,286;16,02;
2004-07-31;23,9;25,351613;19,436129;15,158065;
2004-08-31;13,6;27,987097;21,149032;16,151613;
2004-09-30;5,8;31,713333;23,893333;18,110345;
2004-10-31;109,2;29,416129;23,942581;20,090323;
2004-11-30;82,6;30,836667;25,109333;20,93;
2004-12-31;340;30,570968;25,179333;21,8;
2005-01-31;104,2;32,135484;26,625806;22,8;
2005-02-28;159,2;31,692857;25,568571;21,585714;
2005-03-31;260,3;31,441935;26,017419;22,522581;
2005-04-30;61,4;31,406897;25,474483;21,586207;
2005-05-31;77,5;28,206452;22,802581;19,077419;
2005-06-30;87,4;26,833333;21,151333;17,343333;
2005-07-31;48,5;25,870968;19,984516;15,83871;
2005-08-31;4,1;29,354839;22,393548;17,380645;
2005-09-30;104,2;28,226667;22,688;18,96;
2005-10-31;11,7;32,319355;25,702581;20,741935;
2005-11-30;165,2;28,546667;23,898667;20,473333;
2005-12-31;254,6;29,954839;24,816774;20,683871;
2006-01-31;132,5;34,087097;27,271613;22,096774;
2006-02-28;168;34,421429;27,717778;22,885714;
2006-03-31;103,1;32,33871;26,479355;22,76129;
2006-04-30;58,5;29,803333;24,341333;20,706667;
2006-05-31;52,2;27,73871;21,343871;16,974194;
2006-06-30;4,5;27,25;20,559333;15,753333;
2006-07-31;7,1;28,806452;20,379355;14,16129;
2006-08-31;5,5;29,893548;22,439355;16,980645;
2006-09-30;47,8;28,973333;22,28;17,346667;
2006-10-31;125;29,651613;23,938065;20,122581;
2006-11-30;261,4;29,826667;24,504;21,213333;
2006-12-31;227,3;31,187097;25,703226;22,103226;
2007-01-31;353,8;30,883871;25,851613;22,63871;
2007-02-28;138,9;32,107143;26,185714;22,235714;
2007-03-31;34,5;34,193548;27,252903;22,380645;
2007-04-30;64,2;31,33;25,401333;21,376667;
2007-05-31;18,9;28,183871;21,772258;17,083871;
2007-06-30;1,8;29,356667;21,362667;15,29;
2007-07-31;11;29,125806;21,554194;15,987097;
2007-08-31;10,2;29,8;22,085806;16,306452;
2007-09-30;26,9;30,91;23,13;17,693333;
2007-10-31;143;32,522581;25,148387;20,354839;
2007-11-30;114,3;30,54;25,101333;21,42;
2007-12-31;245,5;32,619355;26,375484;22,2;
2008-01-31;185,3;30,845161;25,372903;21,4;
2008-02-29;230,2;32,048276;26,129655;22,241379;
2008-03-31;75,3;31,809677;26,007097;22,245161;
2008-04-30;165,3;30,683333;25,138667;21,43;
2008-05-31;13,4;28,190323;21,909032;17,425806;
2008-06-30;3,2;27,083333;21,047333;16,833333;
2008-07-31;16,1;27,974194;20,158065;14,319355;
2008-08-31;11,5;30,258065;22,618065;17,354839;
2008-09-30;56,5;29,093103;22,762857;18,127586;
2008-10-31;50,2;30,474194;24,604516;20,509677;
2008-11-30;285,8;29,006667;25,012;21,635;
2008-12-31;406,4;29,241935;24,449677;21,329032;
2009-01-31;377,2;31,445161;25,998065;22,416129;
2009-02-28;176,4;32,957143;26,820714;22,610714;
2009-03-31;203,5;32,56129;26,653793;22,803226;
2009-04-30;82,9;29,22;24,024667;20,37;
2009-05-31;4,2;28,558065;22,402;18,093548;
2009-06-30;78,2;26,533333;20,280667;15,77;
